[21:47:59.734]   info   [SERVER]   successfully created TableState
[21:47:59.735]   info   [SERVER]   successfully created PhaseState
[21:47:59.735]   info   [SERVER]   successfully created Config (GameState Config)
[21:47:59.739]   info   [SERVER]   listening on: 172.17.0.3:3000
[21:48:27.199]   info   [SERVER]   accepted connection from 172.17.0.2:36872
[21:48:27.199]   info   [GS]       Starting game loop for agent: bot_a
[21:48:27.200]  trace   [GS]       updating phase INIT_A...
[21:48:27.200]  trace   [GS]       phase status INIT_A: 0
[21:48:27.200]   info   [GS]       Executing action for phase: INIT_A
[21:48:27.200]   info   [GS]       Phase 'INIT_A' is marked DONE locally.
[21:48:27.201]  trace   [GS]       updating phase CLEAR_DECK...
[21:48:27.201]  trace   [GS]       phase status CLEAR_DECK: 0
[21:48:27.201]   info   [GS]       potential of phase CLEAR_DECK: 0
[21:48:27.201]  trace   [GS]       updating phase LONG_TASK...
[21:48:27.201]  trace   [GS]       phase status LONG_TASK: 0
[21:48:27.201]   info   [GS]       potential of phase LONG_TASK: 0
[21:48:27.201]  trace   [GS]       updating phase WAIT_FOR_INIT...
[21:48:27.201]  trace   [GS]       phase status WAIT_FOR_INIT: 1
[21:48:27.201]   info   [GS]       Transitioning to next phase: LONG_TASK
[21:48:27.202]  trace   [GS]       updating phase LONG_TASK...
[21:48:27.202]  trace   [GS]       phase status LONG_TASK: 0
[21:48:27.202]   info   [GS]       Executing action for phase: LONG_TASK
[21:48:27.202]   info   [GS]       Phase 'LONG_TASK' is marked DONE locally.
[21:48:27.203]  trace   [GS]       updating phase CLEAR_DECK...
[21:48:27.203]  trace   [GS]       phase status CLEAR_DECK: 0
[21:48:27.203]   info   [GS]       potential of phase CLEAR_DECK: 0
[21:48:27.204]  trace   [GS]       updating phase WAIT_FOR_INIT...
[21:48:27.204]  trace   [GS]       phase status WAIT_FOR_INIT: 1
[21:48:27.204]   info   [GS]       Transitioning to next phase: CLEAR_DECK
[21:48:27.204]  trace   [GS]       updating phase CLEAR_DECK...
[21:48:27.204]  trace   [GS]       phase status CLEAR_DECK: 0
[21:48:27.204]   info   [GS]       Executing action for phase: CLEAR_DECK
[21:48:27.205]   info   [GS]       Phase 'CLEAR_DECK' is marked DONE locally.
[21:48:27.205]  trace   [GS]       updating phase WAIT_FOR_INIT...
[21:48:27.205]  trace   [GS]       phase status WAIT_FOR_INIT: 1
[21:48:27.205]  debug   [GS]       Received update: {"init_b":true}
[21:48:27.306]   info   [GS]       Phase 'CLEAR_DECK' is marked DONE locally.
[21:48:27.306]  trace   [GS]       updating phase WAIT_FOR_INIT...
[21:48:27.306]   info   [GS]       unlocked phase WAIT_FOR_INIT
[21:48:27.307]  trace   [GS]       phase status WAIT_FOR_INIT: 0
[21:48:27.307]   info   [GS]       potential of phase WAIT_FOR_INIT: 0
[21:48:27.307]   info   [GS]       Transitioning to next phase: WAIT_FOR_INIT
[21:48:27.307]  trace   [GS]       updating phase WAIT_FOR_INIT...
[21:48:27.307]  trace   [GS]       phase status WAIT_FOR_INIT: 0
