[14:03:21.992]   info   [SERVER]   accepted connection from 172.17.0.3:55918
[14:03:21.993]   info   [GS]       get next best phase: bot_a
[14:03:21.994]  trace   [GS]       updating phase CLEAR_DECK...
[14:03:21.994]  trace   [GS]       phase status CLEAR_DECK: 0
[14:03:21.994]   info   [GS]       potential of phase CLEAR_DECK: 0
[14:03:21.994]   info   [CLIENT]   successfully created TableState
[14:03:21.994]   info   [GS]       score of phase CLEAR_DECK: 48.5
[14:03:21.995]   info   [CLIENT]   successfully created PhaseState
[14:03:21.996]  trace   [GS]       skipped phase INIT_B because agent is not allowed
[14:03:21.996]  trace   [GS]       updating phase LONG_TASK...
[14:03:21.996]  trace   [GS]       phase status LONG_TASK: 0
[14:03:21.996]   info   [GS]       potential of phase LONG_TASK: 0
[14:03:21.996]   info   [CLIENT]   successfully created config (GameState config)
[14:03:21.996]   info   [GS]       score of phase LONG_TASK: 50
[14:03:21.996]   info   [GS]       get next best phase: bot_b
[14:03:21.997]  trace   [GS]       skipped phase CLEAR_DECK because agent is not allowed
[14:03:21.997]  trace   [GS]       skipped phase INIT_A because agent is not allowed
[14:03:21.997]  trace   [GS]       skipped phase LONG_TASK because agent is not allowed
[14:03:21.997]  trace   [GS]       skipped phase SOME_BOT_A because agent is not allowed
[14:03:21.997]  trace   [GS]       updating phase SOME_BOT_B...
[14:03:21.996]   info   [GS]       Received update: {"init_a":true}
[14:03:21.997]  trace   [GS]       updating phase SOME_BOT_A...
[14:03:21.997]  trace   [GS]       phase status SOME_BOT_A: 1
[14:03:21.997]  trace   [GS]       skipped phase SOME_BOT_A because phase is not open
[14:03:21.997]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:21.997]  trace   [GS]       updating phase WAIT_FOR_INIT...
[14:03:21.997]  trace   [GS]       phase status WAIT_FOR_INIT: 1
[14:03:21.997]  trace   [GS]       skipped phase WAIT_FOR_INIT because phase is not open
[14:03:21.997]   info   [GS]       selected phase LONG_TASK as next phase
[14:03:21.997]  trace   [GS]       phase status SOME_BOT_B: 0
[14:03:21.998]   info   [GS]       potential of phase SOME_BOT_B: 99
[14:03:21.998]   info   [GS]       get next best phase: bot_a
[14:03:21.998]   info   [GS]       score of phase SOME_BOT_B: 138.7
[14:03:21.998]  trace   [GS]       updating phase CLEAR_DECK...
[14:03:21.998]  trace   [GS]       phase status CLEAR_DECK: 0
[14:03:21.998]   info   [GS]       potential of phase CLEAR_DECK: 0
[14:03:21.999]  trace   [GS]       skipped phase WAIT_FOR_INIT because agent is not allowed
[14:03:21.999]   info   [GS]       selected phase SOME_BOT_B as next phase
[14:03:21.997]   info   [GS]       Received update: {"init_b":true}
[14:03:21.999]   info   [GS]       Received update phase [INIT_A]: DONE
[14:03:21.999]   info   [GS]       score of phase CLEAR_DECK: 48.5
[14:03:21.999]   info   [GS]       get next best phase: bot_b
[14:03:22.000]  trace   [GS]       skipped phase INIT_B because agent is not allowed
[14:03:22.000]  trace   [GS]       updating phase SOME_BOT_A...
[14:03:22.000]  trace   [GS]       phase status SOME_BOT_A: 1
[14:03:22.000]  trace   [GS]       skipped phase SOME_BOT_A because phase is not open
[14:03:22.000]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:22.000]  trace   [GS]       updating phase WAIT_FOR_INIT...
[14:03:22.000]  trace   [GS]       phase status WAIT_FOR_INIT: 1
[14:03:22.000]  trace   [GS]       skipped phase WAIT_FOR_INIT because phase is not open
[14:03:22.000]   info   [GS]       selected phase CLEAR_DECK as next phase
[14:03:22.000]  trace   [GS]       skipped phase CLEAR_DECK because agent is not allowed
[14:03:22.000]  trace   [GS]       skipped phase INIT_A because agent is not allowed
[14:03:22.000]  trace   [GS]       skipped phase LONG_TASK because agent is not allowed
[14:03:22.000]  trace   [GS]       skipped phase SOME_BOT_A because agent is not allowed
[14:03:22.000]  trace   [GS]       skipped phase WAIT_FOR_INIT because agent is not allowed
[14:03:22.000]   info   [GS]       no more phases to execute
[14:03:22.000]   info   [GS]       Received update phase [INIT_B]: DONE
[14:03:22.001]   info   [GS]       Received update phase [SOME_BOT_A]: BLOCKED
[14:03:22.000]   info   [GS]       get next best phase: bot_a
[14:03:22.001]   info   [GS]       Received update phase [WAIT_FOR_INIT]: BLOCKED
[14:03:22.002]  trace   [GS]       skipped phase INIT_B because agent is not allowed
[14:03:22.002]  trace   [GS]       updating phase SOME_BOT_A...
[14:03:22.002]  trace   [GS]       phase status SOME_BOT_A: 1
[14:03:22.002]  trace   [GS]       skipped phase SOME_BOT_A because phase is not open
[14:03:22.002]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:22.002]  trace   [GS]       updating phase WAIT_FOR_INIT...
[14:03:22.002]   info   [GS]       unlocked phase {}
[14:03:22.002]   info   [GS]       Received update: {"dummy":true}
[14:03:22.002]  trace   [GS]       phase status WAIT_FOR_INIT: 0
[14:03:22.002]   info   [GS]       potential of phase WAIT_FOR_INIT: 0
[14:03:22.003]   info   [GS]       score of phase WAIT_FOR_INIT: 23.5
[14:03:22.003]   info   [GS]       Received update phase [LONG_TASK]: DONE
[14:03:22.003]   info   [GS]       selected phase WAIT_FOR_INIT as next phase
[14:03:22.004]   info   [GS]       Received update: {"deck_cleared":true}
[14:03:22.004]   info   [GS]       get next best phase: bot_a
[14:03:22.005]  trace   [GS]       updating phase SOME_BOT_A...
[14:03:22.005]  trace   [GS]       phase status SOME_BOT_A: 1
[14:03:22.005]  trace   [GS]       skipped phase SOME_BOT_A because phase is not open
[14:03:22.005]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:22.005]   info   [GS]       no more phases to execute
[14:03:22.005]   info   [GS]       get next best phase: bot_a
[14:03:22.005]  trace   [GS]       updating phase SOME_BOT_A...
[14:03:22.005]  trace   [GS]       phase status SOME_BOT_A: 1
[14:03:22.005]  trace   [GS]       skipped phase SOME_BOT_A because phase is not open
[14:03:22.005]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:22.005]   info   [GS]       no more phases to execute
[14:03:22.006]   info   [GS]       get next best phase: bot_a
[14:03:22.006]  trace   [GS]       updating phase SOME_BOT_A...
[14:03:22.006]  trace   [GS]       phase status SOME_BOT_A: 1
[14:03:22.006]  trace   [GS]       skipped phase SOME_BOT_A because phase is not open
[14:03:22.006]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:22.006]   info   [GS]       no more phases to execute
[14:03:22.006]   info   [GS]       get next best phase: bot_a
[14:03:22.007]  trace   [GS]       updating phase SOME_BOT_A...
[14:03:22.004]   info   [GS]       Received update: {"some_task_bot_b_done":true}
[14:03:22.007]  trace   [GS]       phase status SOME_BOT_A: 1
[14:03:22.007]  trace   [GS]       skipped phase SOME_BOT_A because phase is not open
[14:03:22.007]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:22.007]   info   [GS]       no more phases to execute
[14:03:22.008]   info   [GS]       get next best phase: bot_a
[14:03:22.009]  trace   [GS]       updating phase SOME_BOT_A...
[14:03:22.009]  trace   [GS]       phase status SOME_BOT_A: 1
[14:03:22.009]  trace   [GS]       skipped phase SOME_BOT_A because phase is not open
[14:03:22.009]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:22.009]   info   [GS]       no more phases to execute
[14:03:22.009]   info   [GS]       get next best phase: bot_a
[14:03:22.010]  trace   [GS]       updating phase SOME_BOT_A...
[14:03:22.010]   info   [GS]       unlocked phase {}
[14:03:22.010]  trace   [GS]       phase status SOME_BOT_A: 0
[14:03:22.010]   info   [GS]       potential of phase SOME_BOT_A: 0
[14:03:22.011]   info   [GS]       score of phase SOME_BOT_A: 40.5
[14:03:22.011]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:22.011]   info   [GS]       selected phase SOME_BOT_A as next phase
[14:03:22.013]   info   [GS]       get next best phase: bot_a
[14:03:22.014]  trace   [GS]       skipped phase SOME_BOT_B because agent is not allowed
[14:03:22.014]   info   [GS]       no more phases to execute
[14:03:22.010]   info   [GS]       Received update phase [SOME_BOT_B]: DONE
[14:03:22.042]   info   [GS]       Received update phase [CLEAR_DECK]: DONE
[14:03:22.042]   info   [GS]       Received update phase [WAIT_FOR_INIT]: OPEN
[14:03:22.043]   info   [GS]       Received update: {"dummy":true}
[14:03:22.043]   info   [GS]       Received update phase [WAIT_FOR_INIT]: DONE
[14:03:22.043]   info   [GS]       Received update phase [SOME_BOT_A]: OPEN
[14:03:22.043]   info   [GS]       Received update phase [SOME_BOT_A]: DONE
